         reads_raw  filtered_by_qscore  filtered_by_adapter  reads_passed
101_ddr    3538396              618856                12754       2906786
101_epi      13376                3742                   40          9594
102_ddr       6707                2081                   24          4602
102_epi      27222                7746                  266         19210
103_ddr    5987274             1112697                19876       4854701
103_epi    4246864              784470                14619       3447775
104_ddr    3910836              702594                15817       3192425
104_epi    1311758              234699                 5578       1071481
105_ddr    7848465             1378848                29943       6439674
105_epi    2906319              532205                11602       2362512
106_ddr    7888833             1421327                31118       6436388
106_epi    5144893              910209                20018       4214666
107_ddr     784908              144323                 2993        637592
107_epi     588020              115581                 2481        469958
108_ddr    2267880              446409                 8365       1813106
108_epi    1261456              228586                 4426       1028444
109_ddr    2131063              366433                 8713       1755917
109_epi    1378780              250347                 6240       1122193
110_ddr    5916619             1155897                18882       4741840
110_epi    2608983              463474                 8522       2136987
111_ddr    4658522              832592                15311       3810619
111_epi    4139110              772858                13805       3352447
112_ddr     318434               57998                 1291        259145
112_epi     350436               64494                 1427        284515
113_ddr      17077                4025                   51         13001
113_epi    2727255              512494                10070       2204691
114_ddr    1304624              224668                 5584       1074372
114_epi    1547365              271869                 7128       1268368
115_ddr    2372986              449923                 8902       1914161
115_epi    2606307              462045                10021       2134241
116_ddr    1986248              346020                 7302       1632926
116_epi    1280418              231674                 4610       1044134
117_ddr    3186550              605085                11503       2569962
117_epi    2421815              431221                 9502       1981092
118_ddr    7518900             1376921                25369       6116610
118_epi    3232709              614739                11554       2606416
120_ddr      13640                3623                   41          9976
120_epi    1386310              254978                 4582       1126750
121_ddr    3814954              706451                12610       3095893
121_epi    2793276              540741                 9439       2243096
122_ddr    6251129             1128713                22991       5099425
122_epi    3291083              574162                12957       2703964
123_ddr    4838855              947119                15783       3875953
123_epi    1927969              346646                 7217       1574106
124_ddr    2279170              431359                 8084       1839727
124_epi    1641774              297814                 6005       1337955
125_ddr    2572804              464778                 9424       2098602
125_epi    2998274              522864                12149       2463261
126_ddr    4089067              806926                13436       3268705
126_epi    2635860              505214                 9349       2121297
127_ddr    4236165              743357                16928       3475880
127_epi    7837459             1472479                29294       6335686
128_ddr    4159586              764938                16077       3378571
128_epi    2951363              529827                12693       2408843
129_ddr    3398486              634510                11923       2752053
129_epi    4651083              915459                16255       3719369
130_ddr    3666431              646612                13567       3006252
130_epi    2201989              395152                 8881       1797956
131_ddr    3814897              691047                12597       3111253
131_epi    4765482              880347                16228       3868907
80_ddr    13631702             2376194                29542      11225966
80_epi    16106814             2860768                35462      13210584
81_ddr     1224568              235259                 4532        984777
81_epi     1437050              279850                 5434       1151766
82_ddr     1432332              274967                 3706       1153659
82_epi     2084200              368192                 5548       1710460
84_ddr     3528405              674227                 8650       2845528
84_epi     2609675              509934                 7123       2092618
85_ddr     1006164              183472                 2710        819982
85_epi     1346239              249021                 4611       1092607
86_ddr     3492639              663539                10115       2818985
86_epi     3956171              732291                13270       3210610
87_ddr      507558               93632                 1196        412730
87_epi      962661              184228                 2368        776065
88b_ddr    4394306              824850                11269       3558187
88b_epi    3828611              737975                10322       3080314
89_ddr     3065850              560565                 7934       2497351
89_epi     3283898              638126                 8531       2637241
90_ddr     3179222              618445                 6989       2553788
90_epi     3817338              702889                 9163       3105286
91_ddr     1441380              265717                 3359       1172304
91_epi     1788425              347379                 4554       1436492
95_ddr     2061917              377731                 9150       1675036
95_epi     5593511             1092807                24591       4476113
96_ddr      421868               80196                 1287        340385
96_epi      351216               70727                 1229        279260
98_ddr     3923024              704336                10198       3208490
98_epi     1259631              242616                 3183       1013832
99_ddr      882619              170510                 2622        709487
99_epi     1084535              206481                 5349        872705
w11_ddr      86094               17070                  326         68698
w11_epi     101302               18689                 1014         81599
w1_ddr     2960678              563962                 7526       2389190
w1_epi     4127760              800988                11111       3315661
w3_ddr     1902424              373164                 4211       1525049
w3_epi      333687               65321                 1097        267269
