         merged_pairs  clusters_total  clusters_hidepth  avg_depth_total  avg_depth_mj  avg_depth_stat  sd_depth_total  sd_depth_mj  sd_depth_stat  filtered_bad_align
101_ddr     2906786.0        158937.0           23222.0        16.020115    100.888296      100.888296      151.490223   385.525839     385.525839              6405.0
102_epi       19210.0          6611.0             336.0         2.636817      9.833333        9.833333        2.499887     7.757996       7.757996                13.0
103_ddr     4854701.0        359976.0           57642.0        11.973790     67.547760       67.547760       79.531942   189.264098     189.264098              9883.0
103_epi     3447775.0        148553.0           17238.0        20.400874    166.209943      166.209943      116.733997   305.578247     305.578247              4963.0
104_ddr     3192425.0        210392.0           38845.0        13.565335     66.282276       66.282276       76.547716   168.295192     168.295192              6682.0
104_epi     1071481.0         63207.0           13058.0        15.407850     69.002757       69.002757       58.177607   112.960152     112.960152              2480.0
105_ddr     6439674.0        522252.0           50079.0        10.756030     99.364883       99.364883      103.840995   322.119278     322.119278              8366.0
105_epi     2362512.0        117908.0           15597.0        17.850358    126.430724      126.430724      107.772477   272.422897     272.422897              5088.0
106_ddr     6436388.0        522612.0           58202.0        10.728558     85.720061       85.720061      129.562642   379.996737     379.996737             11192.0
106_epi     4214666.0        160897.0           19021.0        22.281963    178.940802      178.940802      227.778203   641.121780     641.121780              5777.0
107_ddr      637592.0         67375.0           14073.0         8.666612     34.974348       34.974348       37.024402    75.388921      75.388921              2009.0
107_epi      469958.0         36349.0           10090.0        11.800187     38.630723       38.630723       42.124570    73.442388      73.442388              1640.0
108_ddr     1813106.0        142082.0           22700.0        11.471284     63.466432       63.466432       54.713286   124.555999     124.555999              4400.0
108_epi     1028444.0         32497.0           12807.0        28.887651     69.599125       69.599125       83.391321   122.103165     122.103165              1621.0
109_ddr     1755917.0        118817.0           21354.0        13.299326     66.449799       66.449799       66.560870   145.609070     145.609070              3830.0
109_epi     1122193.0         86421.0           11821.0        11.825077     78.154555       78.154555       58.537603   141.249782     141.249782              2600.0
110_ddr     4741840.0        236137.0           43976.0        17.616659     87.858923       87.858923      114.782976   254.320643     254.320643              6897.0
110_epi     2136987.0        137829.0           14634.0        13.925662    120.332035      120.332035       81.576345   223.618692     223.618692              3956.0
111_ddr     3810619.0        215004.0           35268.0        15.678266     87.981258       87.981258      120.702296   287.330787     287.330787              6163.0
111_epi     3352447.0        142763.0           16881.0        20.635424    165.015047      165.015047      149.615456   407.018522     407.018522              5210.0
112_ddr      259145.0         43855.0            9133.0         5.455113     20.143107       20.143107       15.623389    29.928339      29.928339               774.0
112_epi      284515.0         28160.0            8135.0         9.320135     28.533006       28.533006       26.028271    42.703948      42.703948               684.0
113_epi     2204691.0         78159.0           13939.0        25.106322    134.350743      134.350743      114.624878   243.196951     243.196951              3587.0
114_ddr     1074372.0         94523.0           17184.0        10.321520     49.179993       49.179993       46.064512    99.102474      99.102474              3138.0
114_epi     1268368.0         74635.0           13581.0        15.425953     78.604226       78.604226       69.919436   148.269274     148.269274              3068.0
115_ddr     1914161.0        172817.0           18223.0         9.920372     81.410251       81.410251       56.584476   156.983764     156.983764              4442.0
115_epi     2134241.0        191401.0           18296.0        10.036395     90.892162       90.892162       63.874823   188.269890     188.269890              5236.0
116_ddr     1632926.0         68036.0           23969.0        21.900847     57.524886       57.524886       96.367345   156.203157     156.203157              1607.0
116_epi     1044134.0         56004.0           17202.0        17.258553     50.568771       50.568771       73.293840   126.040707     126.040707              1355.0
117_ddr     2569962.0        204325.0           36074.0        11.298745     56.554083       56.554083       60.799618   135.813629     135.813629              5453.0
117_epi     1981092.0        241331.0           28299.0         7.493563     52.849253       52.849253       43.360849   117.033940     117.033940              3746.0
118_ddr     6116610.0        302963.0           54410.0        17.455013     90.533799       90.533799      122.307910   277.095669     277.095669              7821.0
118_epi     2606416.0        197426.0           14798.0        11.701245    141.075686      141.075686       83.144248   272.268608     272.268608              4463.0
120_epi     1126750.0         58444.0           11280.0        17.317021     83.752837       83.752837       69.650388   140.222574     140.222574              2843.0
121_ddr     3095893.0        160980.0           43565.0        17.208163     59.168025       59.168025       98.401911   182.655448     182.655448              4643.0
121_epi     2243096.0        132125.0           13995.0        14.967296    130.462737      130.462737       93.320497   259.411171     259.411171              4431.0
122_ddr     5099425.0        309362.0           50330.0        14.551386     82.372283       82.372283      104.821875   249.078742     249.078742              8153.0
122_epi     2703964.0        133113.0           16380.0        18.079414    137.893895      137.893895      106.491344   275.290949     275.290949              5465.0
123_ddr     3875953.0        270236.0           33414.0        12.606588     90.837613       90.837613       88.702717   237.998131     237.998131              6397.0
123_epi     1574106.0        127064.0           14016.0        11.157944     89.632634       89.632634       61.821415   166.493836     166.493836              4033.0
124_ddr     1839727.0        126954.0           23380.0        13.059888     63.484388       63.484388       61.323104   131.522178     131.522178              3883.0
124_epi     1337955.0         89132.0           11993.0        13.653548     93.015926       93.015926       67.674504   163.573838     163.573838              2551.0
125_ddr     2098602.0        174768.0           38354.0        10.894094     43.947698       43.947698       51.443495   103.224783     103.224783              4892.0
125_epi     2463261.0        164463.0           16506.0        13.487927    122.674361      122.674361       75.916340   210.162829     210.162829              3994.0
126_ddr     3268705.0        221233.0           53501.0        13.401310     50.658455       50.658455       70.345174   136.486579     136.486579              7073.0
126_epi     2121297.0        147066.0           14113.0        12.800103    120.876426      120.876426       85.542584   251.650911     251.650911              3803.0
127_ddr     3475880.0        263228.0           30441.0        11.769550     90.553727       90.553727       84.843476   234.990883     234.990883              5109.0
127_epi     6335686.0        450893.0           49819.0        12.140789     99.277123       99.277123      111.196458   321.507718     321.507718              7373.0
128_ddr     3378571.0        198266.0           34140.0        15.095851     80.164353       80.164353       88.037141   199.727418     199.727418              5024.0
128_epi     2408843.0        197837.0           23239.0        10.957147     81.890056       81.890056       62.293178   165.306837     165.306837              3794.0
129_ddr     2752053.0        189047.0           40888.0        13.154528     55.115975       55.115975       73.609034   151.000001     151.000001              4582.0
129_epi     3719369.0        343049.0           46825.0         9.802976     62.652515       62.652515       68.980679   177.823224     177.823224              5308.0
130_ddr     3006252.0        222529.0           43683.0        12.110619     55.583362       55.583362       67.359245   144.077757     144.077757              6207.0
130_epi     1797956.0        124232.0           13884.0        12.995533    105.894843      105.894843       71.820480   190.878080     190.878080              3049.0
131_ddr     3111253.0        278915.0           56315.0        10.149931     44.093883       44.093883       57.133175   121.322028     121.322028              6913.0
131_epi     3868907.0        366819.0           59818.0         9.609101     51.545304       51.545304       64.327450   152.544904     152.544904              6741.0
