         hetero_est  error_est
101_ddr    0.007046   0.000493
102_epi    0.019825   0.002391
103_ddr    0.006116   0.000661
103_epi    0.008291   0.000331
104_ddr    0.007693   0.000618
104_epi    0.006617   0.000654
105_ddr    0.007445   0.000253
105_epi    0.006153   0.000303
106_ddr    0.005608   0.000233
106_epi    0.007527   0.000312
107_ddr    0.008440   0.001058
107_epi    0.008155   0.000838
108_ddr    0.008927   0.000513
108_epi    0.006357   0.001037
109_ddr    0.006400   0.000516
109_epi    0.005433   0.000849
110_ddr    0.008129   0.000213
110_epi    0.005956   0.000583
111_ddr    0.006292   0.000350
111_epi    0.007377   0.000372
112_ddr    0.006340   0.000888
112_epi    0.006559   0.001104
113_epi    0.005835   0.000460
114_ddr    0.006998   0.000994
114_epi    0.006010   0.000460
115_ddr    0.008620   0.000526
115_epi    0.007349   0.000425
116_ddr    0.005813   0.000437
116_epi    0.004803   0.000791
117_ddr    0.004783   0.000705
117_epi    0.003827   0.000415
118_ddr    0.004534   0.000271
118_epi    0.007611   0.000451
120_epi    0.007046   0.000648
121_ddr    0.005294   0.000437
121_epi    0.007392   0.000457
122_ddr    0.004874   0.000290
122_epi    0.006069   0.000665
123_ddr    0.007892   0.000455
123_epi    0.010627   0.000624
124_ddr    0.008958   0.000588
124_epi    0.006490   0.000680
125_ddr    0.005832   0.000641
125_epi    0.007912   0.000504
126_ddr    0.005608   0.000832
126_epi    0.008565   0.000473
127_ddr    0.005145   0.000358
127_epi    0.006054   0.000403
128_ddr    0.006021   0.000514
128_epi    0.004938   0.000324
129_ddr    0.005073   0.000749
129_epi    0.005783   0.000547
130_ddr    0.005768   0.000863
130_epi    0.006817   0.000669
131_ddr    0.006076   0.000510
131_epi    0.006447   0.000624
