         clusters_total  filtered_by_depth  filtered_by_maxH  filtered_by_maxN  reads_consens      nsites  nhetero  heterozygosity
101_ddr        158937.0            46374.0             296.0             300.0        22624.0   4486788.0  21783.0        0.004855
102_epi          6611.0             1330.0              21.0              12.0          301.0     59690.0    812.0        0.013604
103_ddr        359976.0            99902.0             617.0             607.0        56416.0  11198137.0  46124.0        0.004119
103_epi        148553.0            29228.0             189.0             149.0        16899.0   3350913.0  19714.0        0.005883
104_ddr        210392.0            79570.0             591.0             617.0        37635.0   7464727.0  35392.0        0.004741
104_epi         63207.0            14641.0             159.0             103.0        12796.0   2537627.0  11575.0        0.004561
105_ddr        522252.0           178492.0             631.0             637.0        48804.0   9675660.0  47989.0        0.004960
105_epi        117908.0            21270.0             181.0             162.0        15252.0   3027143.0  13445.0        0.004441
106_ddr        522612.0           170475.0             637.0             714.0        56843.0  11281633.0  46344.0        0.004108
106_epi        160897.0            31269.0             220.0             184.0        18612.0   3692165.0  16687.0        0.004520
107_ddr         67375.0            23952.0             179.0             177.0        13717.0   2719782.0  15390.0        0.005659
107_epi         36349.0             8182.0             110.0              80.0         9900.0   1963783.0  11492.0        0.005852
108_ddr        142082.0            48356.0             272.0             347.0        22081.0   4377206.0  26863.0        0.006137
108_epi         32497.0            17676.0             162.0              44.0        12598.0   2499826.0  12257.0        0.004903
109_ddr        118817.0            38063.0             279.0             325.0        20749.0   4117052.0  19561.0        0.004751
109_epi         86421.0            15209.0             107.0             112.0        11602.0   2302465.0  10030.0        0.004356
110_ddr        236137.0            59395.0             508.0             523.0        42943.0   8510760.0  46345.0        0.005445
110_epi        137829.0            37082.0             153.0             135.0        14344.0   2844982.0  12915.0        0.004540
111_ddr        215004.0            58877.0             440.0             513.0        34313.0   6808050.0  30020.0        0.004409
111_epi        142763.0            27788.0             217.0             175.0        16485.0   3270263.0  18098.0        0.005534
112_ddr         43855.0            12907.0             110.0             157.0         8866.0   1759493.0   8646.0        0.004914
112_epi         28160.0             5945.0              81.0              80.0         7974.0   1582370.0   7145.0        0.004515
113_epi         78159.0            20355.0             134.0              99.0        13705.0   2719707.0  11875.0        0.004366
114_ddr         94523.0            30160.0             217.0             247.0        16720.0   3315796.0  15840.0        0.004777
114_epi         74635.0            23820.0             134.0             122.0        13324.0   2644282.0  11689.0        0.004420
115_ddr        172817.0            46590.0             274.0             376.0        17572.0   3486250.0  18117.0        0.005197
115_epi        191401.0            53531.0             270.0             403.0        17622.0   3493751.0  16873.0        0.004829
116_ddr         68036.0            44068.0             228.0              99.0        23641.0   4683789.0  17186.0        0.003669
116_epi         56004.0            35360.0             140.0              50.0        17010.0   3370497.0  12638.0        0.003750
117_ddr        204325.0            53351.0             319.0             464.0        35291.0   6990591.0  24647.0        0.003526
117_epi        241331.0            62217.0             212.0             395.0        27692.0   5483582.0  16344.0        0.002981
118_ddr        302963.0            78160.0             503.0             454.0        53449.0  10600980.0  32404.0        0.003057
118_epi        197426.0            46910.0             156.0             157.0        14482.0   2873744.0  16388.0        0.005703
120_epi         58444.0            14368.0             104.0              70.0        11106.0   2202810.0  11849.0        0.005379
121_ddr        160980.0            47023.0             419.0             414.0        42729.0   8471886.0  31253.0        0.003689
121_epi        132125.0            27357.0             155.0             124.0        13714.0   2721127.0  13724.0        0.005043
122_ddr        309362.0            65694.0             501.0             485.0        49342.0   9790379.0  29777.0        0.003041
122_epi        133113.0            25263.0             162.0             126.0        16089.0   3192370.0  14301.0        0.004480
123_ddr        270236.0            84894.0             519.0             653.0        32241.0   6394100.0  31557.0        0.004935
123_epi        127064.0            33678.0             195.0             194.0        13627.0   2703126.0  13859.0        0.005127
124_ddr        126954.0            40173.0             347.0             299.0        22733.0   4506342.0  27484.0        0.006099
124_epi         89132.0            15917.0             121.0             104.0        11768.0   2335292.0  10445.0        0.004473
125_ddr        174768.0            49030.0             377.0             510.0        37467.0   7436212.0  31565.0        0.004245
125_epi        164463.0            34960.0             178.0             143.0        16184.0   3209796.0  19252.0        0.005998
126_ddr        221233.0            57125.0             561.0             526.0        52412.0  10400619.0  41926.0        0.004031
126_epi        147066.0            31893.0             149.0             131.0        13832.0   2742826.0  17984.0        0.006557
127_ddr        263228.0            68338.0             268.0             409.0        29763.0   5901359.0  20622.0        0.003494
127_epi        450893.0            91153.0             352.0             482.0        48978.0   9692073.0  35302.0        0.003642
128_ddr        198266.0            52668.0             278.0             385.0        33476.0   6624281.0  25718.0        0.003882
128_epi        197837.0            51023.0             193.0             311.0        22735.0   4502939.0  16399.0        0.003642
129_ddr        189047.0            53689.0             343.0             424.0        40120.0   7944493.0  25444.0        0.003203
129_epi        343049.0           103320.0             387.0             561.0        45875.0   9083255.0  30309.0        0.003337
130_ddr        222529.0            53681.0             472.0             532.0        42678.0   8465200.0  35302.0        0.004170
130_epi        124232.0            24976.0             159.0             161.0        13564.0   2691445.0  12156.0        0.004517
131_ddr        278915.0           100602.0            1155.0             845.0        54313.0  10768503.0  31134.0        0.002891
131_epi        366819.0           100687.0            1378.0             919.0        57519.0  11403697.0  30247.0        0.002652
